record,method,buffer_size,overload,retained,CR,snr_db,f1,f1_baseline
105,IE,64,10,1063,9.407,27.9326,0.961,0.961
105,SDT,64,10,1064,9.398,28.3248,0.987,0.961
105,FIFO,64,10,1063,9.407,14.6005,0.961,0.961
105,IE,64,20,563,17.762,20.3757,0.961,0.961
105,SDT,64,20,562,17.794,21.6192,0.987,0.961
105,FIFO,64,20,563,17.762,6.8037,0.8857,0.961
105,IE,64,50,263,38.023,6.6867,0.987,0.961
105,SDT,64,50,264,37.879,12.1763,0.987,0.961
105,FIFO,64,50,263,38.023,1.5653,0.4407,0.961
105,IE,128,5,2127,4.701,32.7864,0.961,0.961
105,SDT,128,5,2088,4.789,31.895,0.961,0.961
105,FIFO,128,5,2127,4.701,23.4569,0.961,0.961
105,IE,128,10,1127,8.873,28.2958,0.961,0.961
105,SDT,128,10,1119,8.937,28.7372,0.987,0.961
105,FIFO,128,10,1127,8.873,14.9447,0.961,0.961
105,IE,128,20,627,15.949,21.0339,0.961,0.961
105,SDT,128,20,627,15.949,23.3179,0.987,0.961
105,FIFO,128,20,627,15.949,6.605,0.9333,0.961
105,IE,128,50,327,30.581,8.3373,0.961,0.961
105,SDT,128,50,328,30.488,13.6125,0.987,0.961
105,FIFO,128,50,327,30.581,1.5523,0.4828,0.961
105,IE,256,5,2255,4.435,33.0781,0.961,0.961
105,SDT,256,5,2266,4.413,32.3964,0.961,0.961
105,FIFO,256,5,2255,4.435,23.8547,0.987,0.961
105,IE,256,10,1255,7.968,28.7475,0.961,0.961
105,SDT,256,10,1251,7.994,29.3755,0.961,0.961
105,FIFO,256,10,1255,7.968,15.0474,0.987,0.961
105,IE,256,20,755,13.245,22.8793,0.961,0.961
105,SDT,256,20,755,13.245,25.7733,0.961,0.961
105,FIFO,256,20,755,13.245,7.2823,0.9737,0.961
105,IE,256,50,455,21.978,10.9513,0.987,0.961
105,SDT,256,50,455,21.978,18.5765,0.961,0.961
105,FIFO,256,50,455,21.978,1.82,0.6885,0.961
105,IE,512,5,2511,3.982,33.6544,0.961,0.961
105,SDT,512,5,2464,4.058,32.9616,0.961,0.961
105,FIFO,512,5,2511,3.982,24.0629,0.961,0.961
105,IE,512,10,1511,6.618,29.6188,0.961,0.961
105,SDT,512,10,1521,6.575,30.3877,0.961,0.961
105,FIFO,512,10,1511,6.618,14.5054,0.961,0.961
105,IE,512,20,1011,9.891,26.2891,0.961,0.961
105,SDT,512,20,1012,9.881,28.0534,0.987,0.961
105,FIFO,512,20,1011,9.891,7.1866,0.9211,0.961
105,IE,512,50,711,14.065,20.3455,0.987,0.961
105,SDT,512,50,713,14.025,25.0708,0.961,0.961
105,FIFO,512,50,711,14.065,1.8147,0.4746,0.961
106,IE,32,5,2031,4.924,29.4839,0.9688,0.9688
106,SDT,32,5,2039,4.904,29.0305,0.9688,0.9688
106,FIFO,32,5,2031,4.924,15.1129,0.9688,0.9688
106,IE,32,10,1031,9.699,25.1029,0.9688,0.9688
106,SDT,32,10,1035,9.662,24.3156,0.9688,0.9688
106,FIFO,32,10,1031,9.699,7.1406,0.9688,0.9688
106,IE,32,20,531,18.832,18.6528,0.9688,0.9688
106,SDT,32,20,532,18.797,17.676,0.9688,0.9688
106,FIFO,32,20,531,18.832,2.5421,0.68,0.9688
106,IE,32,50,231,43.29,9.249,0.9688,0.9688
106,SDT,32,50,231,43.29,7.8483,0.9846,0.9688
106,FIFO,32,50,231,43.29,0.0861,0.4912,0.9688
106,IE,64,5,2063,4.847,29.8488,0.9688,0.9688
106,SDT,64,5,2092,4.78,29.1904,0.9688,0.9688
106,FIFO,64,5,2063,4.847,15.1528,0.9688,0.9688
106,IE,64,10,1063,9.407,25.3831,0.9688,0.9688
106,SDT,64,10,1068,9.363,24.5064,0.9688,0.9688
106,FIFO,64,10,1063,9.407,7.3997,0.9206,0.9688
106,IE,64,20,563,17.762,18.8852,0.9688,0.9688
106,SDT,64,20,563,17.762,18.2734,0.9688,0.9688
106,FIFO,64,20,563,17.762,2.4704,0.7419,0.9688
106,IE,64,50,263,38.023,9.7564,0.9688,0.9688
106,SDT,64,50,263,38.023,9.5357,0.9846,0.9688
106,FIFO,64,50,263,38.023,0.2774,0.3404,0.9688
106,IE,128,5,2127,4.701,29.9986,0.9688,0.9688
