signal,mode,buffer_size,consumer_delay_us,producer_delay_us,noise_std,trial,drops,max_wait_ms,mse,snr_db,max_error,deriv_ratio,rpeak_accuracy
sine_1hz,DROP_MIDDLE,64,200,100,0.0100,1,314,0.0075,5.097607e-05,39.9152,3.515339e-02,0.7166,-1.0000
sine_1hz,DROP_LOW_VARIANCE,64,200,100,0.0100,1,315,0.0075,1.794608e-05,44.4492,2.088133e-02,0.8374,-1.0000
sine_1hz,IMP_FIRST_ORDER,64,200,100,0.0100,1,314,0.0022,3.658393e-05,41.3560,2.827788e-02,0.9014,-1.0000
sine_1hz,IMP_SECOND_ORDER,64,200,100,0.0100,1,310,0.0081,5.279383e-05,39.7631,4.237486e-02,0.7057,-1.0000
sine_1hz,IMP_WINDOWED_ENERGY,64,200,100,0.0100,1,316,0.0038,2.760962e-05,42.5783,2.990526e-02,0.8459,-1.0000
sine_1hz,IMP_COMPOSITE,64,200,100,0.0100,1,306,0.0085,3.606594e-05,41.4179,3.015541e-02,0.8506,-1.0000
sine_1hz,IMP_ADAPTIVE,64,200,100,0.0100,1,314,0.0017,3.511790e-05,41.5336,2.579814e-02,0.8072,-1.0000
sine_1hz,IMP_INTERP_ERROR,64,200,100,0.0100,1,316,0.0027,4.725212e-06,50.2447,8.519621e-03,0.9672,-1.0000
sine_1hz,IMP_INTERP_COMPOSITE,64,200,100,0.0100,1,315,0.0015,4.577867e-06,50.3823,8.635448e-03,0.9692,-1.0000
sine_1hz,RDP_OFFLINE,64,200,100,0.0100,1,316,0.0000,3.445721e-06,51.6161,5.949953e-03,0.9800,-1.0000
sine_1hz,LTTB_OFFLINE,64,200,100,0.0100,1,316,0.0000,3.066098e-05,42.1230,3.800704e-02,0.8460,-1.0000
chirp,DROP,64,200,100,0.0100,1,315,0.0006,5.450019e-05,39.4446,4.267176e-02,0.9298,-1.0000
chirp,WAIT,64,200,100,0.0100,1,0,0.2486,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,TIMED,64,200,100,0.0100,1,0,0.2679,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,ADAPTIVE,64,200,100,0.0100,1,219,0.1417,3.478620e-05,41.3945,4.267176e-02,0.9600,-1.0000
chirp,LEGACY_IMPORTANCE,64,200,100,0.0100,1,315,0.0008,8.201183e-05,37.6698,5.098923e-02,0.9427,-1.0000
chirp,RANDOM_DROP,64,200,100,0.0100,1,315,0.0104,5.444820e-05,39.4488,4.707898e-02,0.9390,-1.0000
chirp,DROP_MIDDLE,64,200,100,0.0100,1,315,0.0025,4.435555e-05,40.3391,3.514788e-02,0.9562,-1.0000
chirp,DROP_LOW_VARIANCE,64,200,100,0.0100,1,313,0.0013,1.934842e-03,23.9421,2.145035e-01,0.8473,-1.0000
chirp,IMP_FIRST_ORDER,64,200,100,0.0100,1,313,0.0082,8.166050e-05,37.6885,5.098923e-02,0.9427,-1.0000
chirp,IMP_SECOND_ORDER,64,200,100,0.0100,1,314,0.0084,5.432850e-05,39.4583,4.267176e-02,0.9342,-1.0000
chirp,IMP_WINDOWED_ENERGY,64,200,100,0.0100,1,307,0.0300,2.360002e-04,33.0795,1.017052e-01,0.9215,-1.0000
chirp,IMP_COMPOSITE,64,200,100,0.0100,1,315,0.0032,7.439584e-05,38.0931,4.905217e-02,0.9418,-1.0000
chirp,IMP_ADAPTIVE,64,200,100,0.0100,1,312,0.0021,5.803045e-05,39.1720,4.855195e-02,0.9447,-1.0000
chirp,IMP_INTERP_ERROR,64,200,100,0.0100,1,307,0.0084,4.560270e-06,50.2187,9.720468e-03,0.9958,-1.0000
chirp,IMP_INTERP_COMPOSITE,64,200,100,0.0100,1,312,0.0231,4.552112e-06,50.2265,8.358734e-03,0.9959,-1.0000
chirp,RDP_OFFLINE,64,200,100,0.0100,1,307,0.0000,3.164353e-06,51.8057,5.778338e-03,0.9954,-1.0000
chirp,LTTB_OFFLINE,64,200,100,0.0100,1,307,0.0000,2.635760e-05,42.5995,3.908260e-02,0.9695,-1.0000
spikes,DROP,64,200,100,0.0100,1,308,0.0015,9.953409e-03,3.0439,1.990744e+00,0.6154,-1.0000
spikes,WAIT,64,200,100,0.0100,1,0,0.2599,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
spikes,TIMED,64,200,100,0.0100,1,0,0.3098,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
spikes,ADAPTIVE,64,200,100,0.0100,1,218,0.0965,1.997749e-03,10.0182,9.924577e-01,0.9066,-1.0000
spikes,LEGACY_IMPORTANCE,64,200,100,0.0100,1,305,0.0024,1.007236e-03,12.9923,9.904487e-01,0.9610,-1.0000
spikes,RANDOM_DROP,64,200,100,0.0100,1,312,0.0079,1.020092e-02,2.9372,1.992375e+00,0.6033,-1.0000
spikes,DROP_MIDDLE,64,200,100,0.0100,1,311,0.0077,6.944020e-03,4.6075,1.993529e+00,0.7494,-1.0000
spikes,DROP_LOW_VARIANCE,64,200,100,0.0100,1,318,0.0009,1.765737e-05,30.5543,2.099903e-02,0.9380,-1.0000
spikes,IMP_FIRST_ORDER,64,200,100,0.0100,1,310,0.0146,1.007677e-03,12.9904,9.904487e-01,0.9595,-1.0000
spikes,IMP_SECOND_ORDER,64,200,100,0.0100,1,315,0.0015,1.089836e-02,2.6500,1.990744e+00,0.6137,-1.0000
spikes,IMP_WINDOWED_ENERGY,64,200,100,0.0100,1,314,0.0016,2.550717e-05,28.9570,2.919999e-02,0.9261,-1.0000
spikes,IMP_COMPOSITE,64,200,100,0.0100,1,317,0.0033,3.188067e-05,27.9883,2.551062e-02,0.9351,-1.0000
spikes,IMP_ADAPTIVE,64,200,100,0.0100,1,316,0.0018,3.078959e-05,28.1396,2.471981e-02,0.9220,-1.0000
spikes,IMP_INTERP_ERROR,64,200,100,0.0100,1,311,0.0077,4.551615e-06,36.4419,8.492695e-03,0.9900,-1.0000
spikes,IMP_INTERP_COMPOSITE,64,200,100,0.0100,1,315,0.0033,4.617244e-06,36.3798,9.152710e-03,0.9890,-1.0000
spikes,RDP_OFFLINE,64,200,100,0.0100,1,311,0.0000,3.343871e-06,37.7811,5.889139e-03,0.9924,-1.0000
spikes,LTTB_OFFLINE,64,200,100,0.0100,1,311,0.0000,1.966054e-03,10.0876,9.852454e-01,0.9385,-1.0000
sine_1hz,DROP,64,200,100,0.0100,2,317,0.0022,4.701797e-05,40.2659,3.734289e-02,0.7182,-1.0000
sine_1hz,WAIT,64,200,100,0.0100,2,0,0.3214,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,TIMED,64,200,100,0.0100,2,0,0.2715,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,ADAPTIVE,64,200,100,0.0100,2,205,0.1279,2.754530e-05,42.5881,4.630332e-02,0.8387,-1.0000
sine_1hz,LEGACY_IMPORTANCE,64,200,100,0.0100,2,314,0.0084,2.707174e-05,42.6634,2.511861e-02,0.9092,-1.0000
sine_1hz,RANDOM_DROP,64,200,100,0.0100,2,317,0.0084,5.060609e-05,39.9465,4.630332e-02,0.7407,-1.0000
sine_1hz,DROP_MIDDLE,64,200,100,0.0100,2,316,0.0026,4.345922e-05,40.6077,3.734289e-02,0.7460,-1.0000
sine_1hz,DROP_LOW_VARIANCE,64,200,100,0.0100,2,306,0.0025,1.473748e-05,45.3043,1.727570e-02,0.8593,-1.0000
sine_1hz,IMP_FIRST_ORDER,64,200,100,0.0100,2,311,0.0014,2.700046e-05,42.6749,2.511861e-02,0.9086,-1.0000
sine_1hz,IMP_SECOND_ORDER,64,200,100,0.0100,2,312,0.0083,4.403660e-05,40.5504,4.630332e-02,0.7496,-1.0000
sine_1hz,IMP_WINDOWED_ENERGY,64,200,100,0.0100,2,314,0.0018,2.355857e-05,43.2671,2.272138e-02,0.8579,-1.0000
sine_1hz,IMP_COMPOSITE,64,200,100,0.0100,2,317,0.0024,2.748293e-05,42.5979,2.505231e-02,0.8641,-1.0000
sine_1hz,IMP_ADAPTIVE,64,200,100,0.0100,2,313,0.0042,2.800782e-05,42.5158,3.007089e-02,0.8266,-1.0000
sine_1hz,IMP_INTERP_ERROR,64,200,100,0.0100,2,313,0.0023,3.336976e-06,51.7550,8.768269e-03,0.9796,-1.0000
sine_1hz,IMP_INTERP_COMPOSITE,64,200,100,0.0100,2,312,0.0034,3.272692e-06,51.8395,7.131022e-03,0.9796,-1.0000
sine_1hz,RDP_OFFLINE,64,200,100,0.0100,2,313,0.0000,2.492299e-06,53.0226,5.379103e-03,0.9832,-1.0000
sine_1hz,LTTB_OFFLINE,64,200,100,0.0100,2,313,0.0000,2.408569e-05,43.1710,3.523952e-02,0.8691,-1.0000
chirp,DROP,64,200,100,0.0100,2,311,0.0013,4.381710e-05,40.3916,4.575149e-02,0.9508,-1.0000
chirp,WAIT,64,200,100,0.0100,2,0,0.1823,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,TIMED,64,200,100,0.0100,2,0,0.1931,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,ADAPTIVE,64,200,100,0.0100,2,205,0.1161,2.845674e-05,42.2662,3.756868e-02,0.9663,-1.0000
chirp,LEGACY_IMPORTANCE,64,200,100,0.0100,2,315,0.0018,1.006218e-04,36.7812,5.073241e-02,0.9384,-1.0000
chirp,RANDOM_DROP,64,200,100,0.0100,2,313,0.0077,4.669684e-05,40.1152,3.765342e-02,0.9584,-1.0000
chirp,DROP_MIDDLE,64,200,100,0.0100,2,307,0.0075,4.444905e-05,40.3295,3.844643e-02,0.9556,-1.0000
chirp,DROP_LOW_VARIANCE,64,200,100,0.0100,2,316,0.0024,1.963464e-03,23.8779,2.178467e-01,0.8517,-1.0000
chirp,IMP_FIRST_ORDER,64,200,100,0.0100,2,315,0.0081,1.033575e-04,36.6647,5.073241e-02,0.9355,-1.0000
chirp,IMP_SECOND_ORDER,64,200,100,0.0100,2,315,0.0038,4.418058e-05,40.3558,3.844643e-02,0.9482,-1.0000
chirp,IMP_WINDOWED_ENERGY,64,200,100,0.0100,2,310,0.0427,2.178267e-04,33.4270,9.465541e-02,0.9253,-1.0000
chirp,IMP_COMPOSITE,64,200,100,0.0100,2,305,0.0092,6.261206e-05,38.8415,4.485170e-02,0.9454,-1.0000
chirp,IMP_ADAPTIVE,64,200,100,0.0100,2,307,0.0043,4.264526e-05,40.5094,4.575149e-02,0.9475,-1.0000
chirp,IMP_INTERP_ERROR,64,200,100,0.0100,2,307,0.0028,3.285639e-06,51.6419,7.637869e-03,0.9969,-1.0000
chirp,IMP_INTERP_COMPOSITE,64,200,100,0.0100,2,303,0.0034,2.888445e-06,52.2014,7.191601e-03,0.9968,-1.0000
chirp,RDP_OFFLINE,64,200,100,0.0100,2,307,0.0000,2.437663e-06,52.9383,5.682403e-03,0.9962,-1.0000
chirp,LTTB_OFFLINE,64,200,100,0.0100,2,307,0.0000,2.532868e-05,42.7720,3.844643e-02,0.9706,-1.0000
spikes,DROP,64,200,100,0.0100,2,310,0.0010,1.309032e-02,1.8796,2.011864e+00,0.4751,-1.0000
spikes,WAIT,64,200,100,0.0100,2,0,0.2647,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
spikes,TIMED,64,200,100,0.0100,2,0,0.3265,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
spikes,ADAPTIVE,64,200,100,0.0100,2,210,0.1173,7.053514e-03,4.5651,2.011864e+00,0.7937,-1.0000
spikes,LEGACY_IMPORTANCE,64,200,100,0.0100,2,317,0.0008,1.010659e-03,13.0031,9.940668e-01,0.9648,-1.0000
spikes,RANDOM_DROP,64,200,100,0.0100,2,308,0.0077,8.497727e-03,3.7561,2.000997e+00,0.7520,-1.0000
spikes,DROP_MIDDLE,64,200,100,0.0100,2,319,0.0025,8.059622e-03,3.9860,2.011864e+00,0.7447,-1.0000
spikes,DROP_LOW_VARIANCE,64,200,100,0.0100,2,302,0.0020,1.268010e-05,32.0179,1.740639e-02,0.9500,-1.0000
spikes,IMP_FIRST_ORDER,64,200,100,0.0100,2,307,0.0029,1.010615e-03,13.0033,9.940668e-01,0.9654,-1.0000
spikes,IMP_SECOND_ORDER,64,200,100,0.0100,2,312,0.0034,8.093385e-03,3.9678,2.000997e+00,0.7517,-1.0000
spikes,IMP_WINDOWED_ENERGY,64,200,100,0.0100,2,308,0.0026,2.079512e-05,29.8695,2.426806e-02,0.9366,-1.0000
spikes,IMP_COMPOSITE,64,200,100,0.0100,2,307,0.0083,2.717749e-05,28.7070,2.499673e-02,0.9431,-1.0000
spikes,IMP_ADAPTIVE,64,200,100,0.0100,2,308,0.0108,2.414560e-05,29.2207,2.467578e-02,0.9377,-1.0000
spikes,IMP_INTERP_ERROR,64,200,100,0.0100,2,308,0.0078,3.401734e-06,37.7321,8.775748e-03,0.9885,-1.0000
spikes,IMP_INTERP_COMPOSITE,64,200,100,0.0100,2,310,0.0082,3.431180e-06,37.6947,7.369190e-03,0.9895,-1.0000
spikes,RDP_OFFLINE,64,200,100,0.0100,2,308,0.0000,2.481401e-06,39.1022,5.355789e-03,0.9923,-1.0000
spikes,LTTB_OFFLINE,64,200,100,0.0100,2,308,0.0000,3.004433e-03,8.2715,1.013207e+00,0.9455,-1.0000
sine_1hz,DROP,64,200,100,0.0100,3,307,0.0006,4.230852e-05,40.7254,3.379266e-02,0.7347,-1.0000
sine_1hz,WAIT,64,200,100,0.0100,3,0,0.2583,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,TIMED,64,200,100,0.0100,3,0,0.3071,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,ADAPTIVE,64,200,100,0.0100,3,213,0.1486,3.619333e-05,41.4034,4.370344e-02,0.7769,-1.0000
sine_1hz,LEGACY_IMPORTANCE,64,200,100,0.0100,3,310,0.0028,2.670762e-05,42.7234,3.000546e-02,0.9070,-1.0000
sine_1hz,RANDOM_DROP,64,200,100,0.0100,3,312,0.0085,4.330684e-05,40.6241,3.639840e-02,0.7580,-1.0000
sine_1hz,DROP_MIDDLE,64,200,100,0.0100,3,312,0.0026,3.977328e-05,40.9938,4.214905e-02,0.7503,-1.0000
sine_1hz,DROP_LOW_VARIANCE,64,200,100,0.0100,3,310,0.0076,1.663282e-05,44.7801,1.971212e-02,0.8546,-1.0000
sine_1hz,IMP_FIRST_ORDER,64,200,100,0.0100,3,307,0.0039,2.538997e-05,42.9431,3.325430e-02,0.9106,-1.0000
sine_1hz,IMP_SECOND_ORDER,64,200,100,0.0100,3,296,0.0041,4.155311e-05,40.8037,4.370344e-02,0.7413,-1.0000
sine_1hz,IMP_WINDOWED_ENERGY,64,200,100,0.0100,3,307,0.0049,2.275242e-05,43.4194,2.536214e-02,0.8565,-1.0000
sine_1hz,IMP_COMPOSITE,64,200,100,0.0100,3,310,0.0035,2.692647e-05,42.6879,2.643378e-02,0.8687,-1.0000
sine_1hz,IMP_ADAPTIVE,64,200,100,0.0100,3,304,0.0082,2.544416e-05,42.9338,3.148242e-02,0.8345,-1.0000
sine_1hz,IMP_INTERP_ERROR,64,200,100,0.0100,3,311,0.0022,3.838666e-06,51.1479,7.746093e-03,0.9766,-1.0000
