signal,condition,load,mode,buffer_size,overload,retained,CR,snr_db,snr_saturated,pnr_orig_db,pnr_db,pnr_loss,amp_error_pct,diagnosable
IR007_0,inner_race,0,LTTB,512,50,751,15.9787,-3.5034,0,33.973,20.527,13.446,92.644,1
IR007_0,inner_race,0,SDT,512,50,752,15.9574,-0.9797,0,33.973,26.695,7.278,57.027,1
IR007_0,inner_race,0,SDT_BOUNDED,512,50,752,15.9574,-0.9797,0,33.973,26.695,7.278,57.027,1
IR007_1,inner_race,1,IE,128,5,2527,4.7487,2.7047,0,33.665,31.579,2.086,14.357,1
IR007_1,inner_race,1,VW,128,5,2527,4.7487,1.9064,0,33.665,29.758,3.907,18.451,1
IR007_1,inner_race,1,DROP,128,5,2527,4.7487,-1.2931,0,33.665,21.344,12.321,93.92,1
IR007_1,inner_race,1,IE_ORACLE,128,5,2527,4.7487,2.923,0,33.665,33.153,0.512,14.942,1
IR007_1,inner_race,1,LTTB,128,5,2527,4.7487,-0.5683,0,33.665,26.435,7.23,68.686,1
IR007_1,inner_race,1,SDT,128,5,2528,4.7468,3.2032,0,33.665,32.151,1.514,10.765,1
IR007_1,inner_race,1,SDT_BOUNDED,128,5,2516,4.7695,3.1159,0,33.665,32.022,1.643,10.548,1
IR007_1,inner_race,1,IE,128,10,1327,9.043,-1.1981,0,33.665,31.575,2.09,12.02,1
IR007_1,inner_race,1,VW,128,10,1327,9.043,-1.1476,0,33.665,22.243,11.422,67.978,1
IR007_1,inner_race,1,DROP,128,10,1327,9.043,-2.2172,0,33.665,21.466,12.199,98.405,1
IR007_1,inner_race,1,IE_ORACLE,128,10,1327,9.043,-1.3776,0,33.665,32.033,1.632,7.094,1
IR007_1,inner_race,1,LTTB,128,10,1327,9.043,-2.1654,0,33.665,20.074,13.591,87.869,1
IR007_1,inner_race,1,SDT,128,10,1328,9.0361,0.4457,0,33.665,29.403,4.262,28.813,1
IR007_1,inner_race,1,SDT_BOUNDED,128,10,1317,9.1116,0.4111,0,33.665,29.054,4.611,29.099,1
IR007_1,inner_race,1,IE,128,20,727,16.5062,-3.8262,0,33.665,27.561,6.104,43.771,1
IR007_1,inner_race,1,VW,128,20,727,16.5062,-2.501,0,33.665,16.729,16.936,92.739,1
IR007_1,inner_race,1,DROP,128,20,727,16.5062,-2.3026,0,33.665,18.573,15.092,99.487,1
