signal,condition,load,diameter,mode,buffer_size,overload,retained,CR,f_nominal,f_orig,f_recon,freq_error_hz,amp_error_pct,pnr_db,pnr_orig_db,diagnosable
IR007_1,inner_race,1,0.007,IE_ORACLE,128,5,2527,4.749,159.929,160.0,160.0,0.0,14.942,33.153,33.665,1
IR007_1,inner_race,1,0.007,LTTB,128,5,2527,4.749,159.929,160.0,160.0,0.0,68.686,26.435,33.665,1
IR007_1,inner_race,1,0.007,SDT,128,5,2528,4.747,159.929,160.0,160.0,0.0,10.765,32.151,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,128,5,2516,4.769,159.929,160.0,160.0,0.0,10.548,32.022,33.665,1
IR007_1,inner_race,1,0.007,IE,128,10,1327,9.043,159.929,160.0,160.0,0.0,12.02,31.575,33.665,1
IR007_1,inner_race,1,0.007,VW,128,10,1327,9.043,159.929,160.0,160.0,0.0,67.978,22.243,33.665,1
IR007_1,inner_race,1,0.007,DROP,128,10,1327,9.043,159.929,160.0,160.0,0.0,98.405,21.466,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,128,10,1327,9.043,159.929,160.0,160.0,0.0,7.094,32.033,33.665,1
IR007_1,inner_race,1,0.007,LTTB,128,10,1327,9.043,159.929,160.0,160.0,0.0,87.869,20.074,33.665,1
IR007_1,inner_race,1,0.007,SDT,128,10,1328,9.036,159.929,160.0,160.0,0.0,28.813,29.403,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,128,10,1317,9.112,159.929,160.0,160.0,0.0,29.099,29.054,33.665,1
IR007_1,inner_race,1,0.007,IE,128,20,727,16.506,159.929,160.0,160.0,0.0,43.771,27.561,33.665,1
IR007_1,inner_race,1,0.007,VW,128,20,727,16.506,159.929,160.0,159.0,1.0,92.739,16.729,33.665,1
IR007_1,inner_race,1,0.007,DROP,128,20,727,16.506,159.929,160.0,160.0,0.0,99.487,18.573,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,128,20,727,16.506,159.929,160.0,160.0,0.0,32.842,28.609,33.665,1
IR007_1,inner_race,1,0.007,LTTB,128,20,727,16.506,159.929,160.0,160.0,0.0,89.229,20.693,33.665,1
IR007_1,inner_race,1,0.007,SDT,128,20,728,16.484,159.929,160.0,160.0,0.0,54.705,26.654,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,128,20,722,16.62,159.929,160.0,160.0,0.0,55.019,26.259,33.665,1
