signal,domain,buffer_size,overload,method,policy,epsilon,emitted,delivered,max_occupancy,occupancy_ratio,overflow_events,dropped,stalled,max_dev,eps_violation_ratio,snr_db
ecg_101,ecg,64,2,SDT,fifo_drop,5.000000e-03,2072,2051,64,1.0000,21,21,0,0.000000e+00,0.0000,42.074689
ecg_101,ecg,64,2,SDT,stall,5.000000e-03,2051,2051,64,1.0000,31,0,31,1.250000e-01,25.0000,38.415074
ecg_101,ecg,64,5,PROPOSED,none,0.000000e+00,863,863,64,1.0000,0,0,0,0.000000e+00,0.0000,32.236764
ecg_101,ecg,64,5,SDT,unbounded,1.375000e-02,860,860,73,1.1406,0,0,0,0.000000e+00,0.0000,31.498178
ecg_101,ecg,64,5,SDT,fifo_drop,1.375000e-02,860,851,64,1.0000,9,9,0,0.000000e+00,0.0000,30.326635
ecg_101,ecg,64,5,SDT,stall,1.375000e-02,852,852,64,1.0000,21,0,21,1.350000e-01,9.8182,29.096204
ecg_101,ecg,64,10,PROPOSED,none,0.000000e+00,463,463,64,1.0000,0,0,0,0.000000e+00,0.0000,28.594371
ecg_101,ecg,64,10,SDT,unbounded,2.100000e-02,463,463,68,1.0625,0,0,0,0.000000e+00,0.0000,28.175986
ecg_101,ecg,64,10,SDT,fifo_drop,2.100000e-02,463,459,64,1.0000,4,4,0,0.000000e+00,0.0000,28.074544
ecg_101,ecg,64,10,SDT,stall,2.100000e-02,461,461,64,1.0000,12,0,12,1.150000e-01,5.4762,27.640177
ecg_101,ecg,64,20,PROPOSED,none,0.000000e+00,263,263,64,1.0000,0,0,0,0.000000e+00,0.0000,22.902836
ecg_101,ecg,64,20,SDT,unbounded,3.198413e-02,263,263,63,0.9844,0,0,0,0.000000e+00,0.0000,24.505608
ecg_101,ecg,64,20,SDT,fifo_drop,3.198413e-02,263,263,63,0.9844,0,0,0,0.000000e+00,0.0000,24.505608
ecg_101,ecg,64,20,SDT,stall,3.198413e-02,263,263,63,0.9844,0,0,0,0.000000e+00,0.0000,24.505608
ecg_101,ecg,128,2,PROPOSED,none,0.000000e+00,2127,2127,128,1.0000,0,0,0,0.000000e+00,0.0000,43.926457
ecg_101,ecg,128,2,SDT,unbounded,4.000000e-03,2118,2118,128,1.0000,0,0,0,0.000000e+00,0.0000,43.748033
ecg_101,ecg,128,2,SDT,fifo_drop,4.000000e-03,2118,2118,128,1.0000,0,0,0,0.000000e+00,0.0000,43.748033
ecg_101,ecg,128,2,SDT,stall,4.000000e-03,2118,2118,128,1.0000,0,0,0,0.000000e+00,0.0000,43.748033
ecg_101,ecg,128,5,PROPOSED,none,0.000000e+00,927,927,128,1.0000,0,0,0,0.000000e+00,0.0000,32.561561
ecg_101,ecg,128,5,SDT,unbounded,1.312500e-02,927,927,132,1.0312,0,0,0,0.000000e+00,0.0000,31.920305
ecg_101,ecg,128,5,SDT,fifo_drop,1.312500e-02,927,923,128,1.0000,4,4,0,0.000000e+00,0.0000,31.874192
ecg_101,ecg,128,5,SDT,stall,1.312500e-02,924,924,128,1.0000,8,0,8,1.800000e-01,13.7143,29.546460
ecg_101,ecg,128,10,PROPOSED,none,0.000000e+00,527,527,128,1.0000,0,0,0,0.000000e+00,0.0000,28.963920
ecg_101,ecg,128,10,SDT,unbounded,1.916667e-02,530,530,131,1.0234,0,0,0,0.000000e+00,0.0000,28.972601
ecg_101,ecg,128,10,SDT,fifo_drop,1.916667e-02,530,527,128,1.0000,3,3,0,0.000000e+00,0.0000,28.885868
ecg_101,ecg,128,10,SDT,stall,1.916667e-02,527,527,128,1.0000,7,0,7,1.758333e-01,9.1739,25.971333
ecg_101,ecg,128,20,PROPOSED,none,0.000000e+00,327,327,128,1.0000,0,0,0,0.000000e+00,0.0000,24.776375
ecg_101,ecg,128,20,SDT,unbounded,2.666667e-02,327,327,127,0.9922,0,0,0,0.000000e+00,0.0000,26.249976
ecg_101,ecg,128,20,SDT,fifo_drop,2.666667e-02,327,327,127,0.9922,0,0,0,0.000000e+00,0.0000,26.249976
ecg_101,ecg,128,20,SDT,stall,2.666667e-02,327,327,127,0.9922,0,0,0,0.000000e+00,0.0000,26.249976
ecg_101,ecg,256,2,PROPOSED,none,0.000000e+00,2255,2255,256,1.0000,0,0,0,0.000000e+00,0.0000,44.427157
ecg_101,ecg,256,2,SDT,unbounded,3.571429e-03,2254,2254,261,1.0195,0,0,0,0.000000e+00,0.0000,44.841779
ecg_101,ecg,256,2,SDT,fifo_drop,3.571429e-03,2254,2249,256,1.0000,5,5,0,0.000000e+00,0.0000,44.635643
ecg_101,ecg,256,2,SDT,stall,3.571429e-03,2250,2250,256,1.0000,6,0,6,1.250000e-01,35.0000,41.785108
ecg_101,ecg,256,5,PROPOSED,none,0.000000e+00,1055,1055,256,1.0000,0,0,0,0.000000e+00,0.0000,33.323042
ecg_101,ecg,256,5,SDT,unbounded,1.166667e-02,1055,1055,259,1.0117,0,0,0,0.000000e+00,0.0000,33.076991
ecg_101,ecg,256,5,SDT,fifo_drop,1.166667e-02,1055,1052,256,1.0000,3,3,0,0.000000e+00,0.0000,32.934251
ecg_101,ecg,256,5,SDT,stall,1.166667e-02,1053,1053,256,1.0000,9,0,9,8.166667e-02,7.0000,32.272507
ecg_101,ecg,256,10,PROPOSED,none,0.000000e+00,655,655,256,1.0000,0,0,0,0.000000e+00,0.0000,29.845805
ecg_101,ecg,256,10,SDT,unbounded,1.666667e-02,650,650,251,0.9805,0,0,0,0.000000e+00,0.0000,29.966395
ecg_101,ecg,256,10,SDT,fifo_drop,1.666667e-02,650,650,251,0.9805,0,0,0,0.000000e+00,0.0000,29.966395
ecg_101,ecg,256,10,SDT,stall,1.666667e-02,650,650,251,0.9805,0,0,0,0.000000e+00,0.0000,29.966395
ecg_101,ecg,256,20,PROPOSED,none,0.000000e+00,455,455,256,1.0000,0,0,0,0.000000e+00,0.0000,27.780696
ecg_101,ecg,256,20,SDT,unbounded,2.107143e-02,456,456,256,1.0000,0,0,0,0.000000e+00,0.0000,28.182984
ecg_101,ecg,256,20,SDT,fifo_drop,2.107143e-02,456,456,256,1.0000,0,0,0,0.000000e+00,0.0000,28.182984
ecg_101,ecg,256,20,SDT,stall,2.107143e-02,456,456,256,1.0000,0,0,0,0.000000e+00,0.0000,28.182984
ecg_101,ecg,512,2,PROPOSED,none,0.000000e+00,2511,2511,512,1.0000,0,0,0,0.000000e+00,0.0000,45.847700
ecg_101,ecg,512,2,SDT,unbounded,3.333333e-03,2509,2509,514,1.0039,0,0,0,0.000000e+00,0.0000,47.279122
ecg_101,ecg,512,2,SDT,fifo_drop,3.333333e-03,2509,2507,512,1.0000,2,2,0,0.000000e+00,0.0000,47.192257
ecg_101,ecg,512,2,SDT,stall,3.333333e-03,2507,2507,512,1.0000,4,0,4,1.250000e-02,3.7500,47.145254
ecg_101,ecg,512,5,PROPOSED,none,0.000000e+00,1311,1311,512,1.0000,0,0,0,0.000000e+00,0.0000,35.249341
ecg_101,ecg,512,5,SDT,unbounded,9.000000e-03,1299,1299,500,0.9766,0,0,0,0.000000e+00,0.0000,35.274889
ecg_101,ecg,512,5,SDT,fifo_drop,9.000000e-03,1299,1299,500,0.9766,0,0,0,0.000000e+00,0.0000,35.274889
ecg_101,ecg,512,5,SDT,stall,9.000000e-03,1299,1299,500,0.9766,0,0,0,0.000000e+00,0.0000,35.274889
ecg_101,ecg,512,10,PROPOSED,none,0.000000e+00,911,911,512,1.0000,0,0,0,0.000000e+00,0.0000,31.754438
ecg_101,ecg,512,10,SDT,unbounded,1.333333e-02,918,918,518,1.0117,0,0,0,0.000000e+00,0.0000,31.861148
ecg_101,ecg,512,10,SDT,fifo_drop,1.333333e-02,918,912,512,1.0000,6,6,0,0.000000e+00,0.0000,31.740615
ecg_101,ecg,512,10,SDT,stall,1.333333e-02,912,912,512,1.0000,17,0,17,1.800000e-01,13.5000,28.269467
ecg_101,ecg,512,20,PROPOSED,none,0.000000e+00,711,711,512,1.0000,0,0,0,0.000000e+00,0.0000,30.130457
ecg_101,ecg,512,20,SDT,unbounded,1.576923e-02,712,712,512,1.0000,0,0,0,0.000000e+00,0.0000,30.358158
ecg_101,ecg,512,20,SDT,fifo_drop,1.576923e-02,712,712,512,1.0000,0,0,0,0.000000e+00,0.0000,30.358158
ecg_101,ecg,512,20,SDT,stall,1.576923e-02,712,712,512,1.0000,0,0,0,0.000000e+00,0.0000,30.358158
ecg_105,ecg,64,2,PROPOSED,none,0.000000e+00,2063,2063,64,1.0000,0,0,0,0.000000e+00,0.0000,43.249470
