record,method,buffer_size,overload,retained,CR_decim,f1,precision,recall,f1_baseline
106,FIFO,256,50,455,21.978,0.2807,0.3333,0.2424,0.9688
106,IE,512,5,2511,3.982,0.9688,1.0,0.9394,0.9688
106,FIFO,512,5,2511,3.982,0.9688,1.0,0.9394,0.9688
106,IE,512,10,1511,6.618,0.9688,1.0,0.9394,0.9688
106,FIFO,512,10,1511,6.618,0.9688,1.0,0.9394,0.9688
106,IE,512,20,1011,9.891,0.9688,1.0,0.9394,0.9688
106,FIFO,512,20,1011,9.891,0.7059,1.0,0.5455,0.9688
106,IE,512,50,711,14.065,0.9688,1.0,0.9394,0.9688
106,FIFO,512,50,711,14.065,0.3934,0.4286,0.3636,0.9688
109,IE,32,5,2031,4.924,0.9888,1.0,0.9778,0.9888
109,FIFO,32,5,2031,4.924,0.9888,1.0,0.9778,0.9888
109,IE,32,10,1031,9.699,0.9888,1.0,0.9778,0.9888
109,FIFO,32,10,1031,9.699,0.9888,1.0,0.9778,0.9888
109,IE,32,20,531,18.832,0.9888,1.0,0.9778,0.9888
109,FIFO,32,20,531,18.832,0.9655,1.0,0.9333,0.9888
109,IE,32,50,231,43.29,0.8889,1.0,0.8,0.9888
109,FIFO,32,50,231,43.29,0.7105,0.871,0.6,0.9888
109,IE,64,5,2063,4.847,0.9888,1.0,0.9778,0.9888
109,FIFO,64,5,2063,4.847,0.9888,1.0,0.9778,0.9888
109,IE,64,10,1063,9.407,0.9888,1.0,0.9778,0.9888
109,FIFO,64,10,1063,9.407,0.9888,1.0,0.9778,0.9888
109,IE,64,20,563,17.762,0.9888,1.0,0.9778,0.9888
109,FIFO,64,20,563,17.762,0.9888,1.0,0.9778,0.9888
109,IE,64,50,263,38.023,0.9535,1.0,0.9111,0.9888
109,FIFO,64,50,263,38.023,0.6761,0.9231,0.5333,0.9888
109,IE,128,5,2127,4.701,0.9888,1.0,0.9778,0.9888
109,FIFO,128,5,2127,4.701,0.9888,1.0,0.9778,0.9888
109,IE,128,10,1127,8.873,0.9888,1.0,0.9778,0.9888
109,FIFO,128,10,1127,8.873,0.9888,1.0,0.9778,0.9888
109,IE,128,20,627,15.949,0.9888,1.0,0.9778,0.9888
109,FIFO,128,20,627,15.949,0.9888,1.0,0.9778,0.9888
109,IE,128,50,327,30.581,0.9888,1.0,0.9778,0.9888
109,FIFO,128,50,327,30.581,0.6933,0.8667,0.5778,0.9888
109,IE,256,5,2255,4.435,0.9888,1.0,0.9778,0.9888
109,FIFO,256,5,2255,4.435,0.9888,1.0,0.9778,0.9888
109,IE,256,10,1255,7.968,0.9888,1.0,0.9778,0.9888
109,FIFO,256,10,1255,7.968,0.9888,1.0,0.9778,0.9888
109,IE,256,20,755,13.245,0.9888,1.0,0.9778,0.9888
109,FIFO,256,20,755,13.245,0.9773,1.0,0.9556,0.9888
109,IE,256,50,455,21.978,0.9888,1.0,0.9778,0.9888
109,FIFO,256,50,455,21.978,0.642,0.7222,0.5778,0.9888
109,IE,512,5,2511,3.982,0.9888,1.0,0.9778,0.9888
109,FIFO,512,5,2511,3.982,0.9888,1.0,0.9778,0.9888
109,IE,512,10,1511,6.618,0.9888,1.0,0.9778,0.9888
109,FIFO,512,10,1511,6.618,0.9888,1.0,0.9778,0.9888
109,IE,512,20,1011,9.891,0.9888,1.0,0.9778,0.9888
109,FIFO,512,20,1011,9.891,0.9655,1.0,0.9333,0.9888
109,IE,512,50,711,14.065,0.9888,1.0,0.9778,0.9888
109,FIFO,512,50,711,14.065,0.7297,0.931,0.6,0.9888
112,IE,32,5,2031,4.924,0.9877,1.0,0.9756,0.9756
112,FIFO,32,5,2031,4.924,0.9877,1.0,0.9756,0.9756
112,IE,32,10,1031,9.699,0.9756,0.9756,0.9756,0.9756
112,FIFO,32,10,1031,9.699,0.9877,1.0,0.9756,0.9756
112,IE,32,20,531,18.832,0.9877,1.0,0.9756,0.9756
112,FIFO,32,20,531,18.832,0.7568,0.8485,0.6829,0.9756
112,IE,32,50,231,43.29,0.9877,1.0,0.9756,0.9756
112,FIFO,32,50,231,43.29,0.4722,0.5484,0.4146,0.9756
112,IE,64,5,2063,4.847,0.9756,0.9756,0.9756,0.9756
112,FIFO,64,5,2063,4.847,0.9877,1.0,0.9756,0.9756
112,IE,64,10,1063,9.407,0.9756,0.9756,0.9756,0.9756
112,FIFO,64,10,1063,9.407,0.9877,1.0,0.9756,0.9756
