alpha,beta,gamma,window_half,signal,trial,snr_db,mse,deriv_ratio,max_error,drops,snr_saturated
0.1,0.7,0.2,2,spikes,1,11.6755,1.548803e-03,0.7110,1.5794e-01,534,0
0.1,0.7,0.2,2,spikes,2,11.2480,1.709006e-03,0.7149,1.7385e-01,534,0
0.1,0.7,0.2,2,ecg,0,32.5359,7.298134e-11,0.8638,7.0000e-05,531,0
0.1,0.7,0.2,2,ecg,1,32.0048,8.247523e-11,0.8613,7.0000e-05,537,0
0.1,0.7,0.2,2,ecg,2,32.9766,6.593889e-11,0.8583,5.8333e-05,535,0
0.1,0.8,0.1,2,sine,0,24.5881,1.733548e-03,0.5981,1.7517e-01,537,0
0.1,0.8,0.1,2,sine,1,24.9032,1.612239e-03,0.6056,1.8654e-01,537,0
0.1,0.8,0.1,2,sine,2,24.4782,1.777981e-03,0.6053,2.2835e-01,537,0
0.1,0.8,0.1,2,chirp,0,23.9543,1.932720e-03,0.6524,1.6934e-01,534,0
0.1,0.8,0.1,2,chirp,1,23.8753,1.968202e-03,0.6417,1.6934e-01,534,0
0.1,0.8,0.1,2,chirp,2,24.1044,1.867055e-03,0.6572,1.6934e-01,532,0
0.1,0.8,0.1,2,spikes,0,11.5630,1.589450e-03,0.7114,1.6669e-01,534,0
0.1,0.8,0.1,2,spikes,1,11.3301,1.676984e-03,0.6939,1.6669e-01,533,0
0.1,0.8,0.1,2,spikes,2,11.5953,1.577664e-03,0.7018,1.7385e-01,536,0
0.1,0.8,0.1,2,ecg,0,32.6498,7.109205e-11,0.8623,7.0000e-05,534,0
0.1,0.8,0.1,2,ecg,1,32.7491,6.948414e-11,0.8663,5.7500e-05,535,0
0.1,0.8,0.1,2,ecg,2,32.6276,7.145673e-11,0.8583,7.0000e-05,534,0
0.2,0.1,0.7,2,sine,0,24.2619,1.868810e-03,0.7067,1.8306e-01,535,0
0.2,0.1,0.7,2,sine,1,24.6220,1.720097e-03,0.7169,1.7391e-01,537,0
0.2,0.1,0.7,2,sine,2,24.3480,1.832099e-03,0.7053,1.7391e-01,534,0
0.2,0.1,0.7,2,chirp,0,23.4597,2.165852e-03,0.7568,1.9823e-01,530,0
0.2,0.1,0.7,2,chirp,1,23.3667,2.212730e-03,0.7531,1.9823e-01,536,0
0.2,0.1,0.7,2,chirp,2,23.5499,2.121349e-03,0.7591,2.1830e-01,533,0
0.2,0.1,0.7,2,spikes,0,11.3879,1.654826e-03,0.7659,1.5148e-01,537,0
0.2,0.1,0.7,2,spikes,1,11.4756,1.621736e-03,0.7676,1.5148e-01,533,0
