signal,domain,buffer_size,overload,retained,decimation,bits_per_index,bits_per_survivor,CR,bits_per_sample,snr_db,PRD_pct,CR_v3_float32
ecg_105,ecg,128,50,167,11.976047904191617,5.163190105537737,21.163190105537737,9.054247753363319,1.767126373812401,20.448183,9.497096480480426,3.992015968063872
ecg_105,ecg,256,2,1255,1.593625498007968,3.261168384879725,19.261168384879724,1.323803803519197,12.086383161512027,46.36463,0.48058310608167154,0.5312084993359893
ecg_105,ecg,256,3,922,2.1691973969631237,3.261168384879725,19.261168384879724,1.8019238323390374,8.879398625429552,40.543989,0.9392918411573106,0.7230657989877078
ecg_105,ecg,256,4,755,2.6490066225165565,3.261168384879725,19.261168384879724,2.200495064127937,7.2710910652920955,37.456173,1.3402670785691517,0.8830022075055187
ecg_105,ecg,256,5,655,3.053435114503817,3.261168384879725,19.261168384879724,2.536448509032965,6.30803264604811,35.460988,1.6863611947654666,1.0178117048346056
ecg_105,ecg,256,6,589,3.395585738539898,3.261168384879725,19.261168384879724,2.820668545698799,5.672414089347079,34.522692,1.8787344542381073,1.1318619128466327
ecg_105,ecg,256,10,455,4.395604395604396,3.4579859462304094,19.45798594623041,3.6144373073357716,4.426691802767419,32.226829,2.4471385017560516,1.465201465201465
ecg_105,ecg,256,20,355,5.633802816901408,3.8372897812827493,19.83728978128275,4.544010097360876,3.521118936177688,29.124149,3.497780481904654,1.8779342723004695
ecg_105,ecg,256,30,322,6.211180124223603,4.016038332123016,20.016038332123017,4.96496261341027,3.2225821714718057,28.828224,3.619001807371854,2.070393374741201
ecg_105,ecg,256,50,295,6.779661016949152,4.192032668004265,20.192032668004266,5.372147423427669,2.9783248185306292,27.30849,4.31097495710405,2.2598870056497176
ecg_105,ecg,512,2,1511,1.3236267372600927,3.261168384879725,19.261168384879724,1.0995193735384463,14.551812714776633,50.745742,0.2902103520289916,0.4412089124200309
ecg_105,ecg,512,3,1178,1.697792869269949,3.261168384879725,19.261168384879724,1.4103342728493995,11.344828178694158,44.353982,0.605760429207135,0.5659309564233164
ecg_105,ecg,512,4,1011,1.9782393669634026,3.261168384879725,19.261168384879724,1.6432975009066195,9.7365206185567,41.681053,0.8240382098944529,0.6594131223211341
ecg_105,ecg,512,5,911,2.1953896816684964,3.261168384879725,19.261168384879724,1.8236814197767204,8.773462199312714,40.370044,0.9582918618872567,0.7317965605561654
ecg_105,ecg,512,6,845,2.366863905325444,3.261168384879725,19.261168384879724,1.9661228087770326,8.137843642611683,38.972989,1.1255130891710967,0.7889546351084813
ecg_105,ecg,512,10,711,2.8129395218002813,3.261168384879725,19.261168384879724,2.336671973862999,6.847345360824741,37.082626,1.399164250102203,0.9376465072667605
ecg_105,ecg,512,20,611,3.2733224222585924,3.261168384879725,19.261168384879724,2.7191060121384494,5.884286941580755,35.394682,1.6992837330306039,1.0911074740861975
ecg_105,ecg,512,30,578,3.4602076124567476,3.261168384879725,19.261168384879724,2.874349088956042,5.56647766323024,34.77016,1.8259631132816114,1.1534025374855825
ecg_105,ecg,512,50,551,3.629764065335753,3.261168384879725,19.261168384879724,3.0151974109194057,5.306451890034364,34.192426,1.951545584263533,1.2099213551119177
ecg_106,ecg,64,2,1063,1.881467544684854,3.261168384879725,19.261168384879724,1.5629104171369637,10.237310996563574,41.761073,0.8164815021553751,0.6271558482282847
