buf_size,overload,trial,method,snr_db,spec_corr_global,sc_q1,sc_q2,sc_q3,sc_q4,n_q1,n_q2,n_q3,n_q4,max_gap,n_surviving
128,15,4,PROPOSED,2.3836,0.6653,0.9949,0.9856,0.4490,-0.0045,116,88,75,56,36.0000,335
128,15,4,RDP,2.2266,0.7337,0.6209,0.5013,0.9821,0.6857,29,46,130,130,158.0000,335
256,3,0,PROPOSED,18.4400,0.9948,0.9999,0.9989,0.9962,0.9921,394,259,246,268,5.0000,1167
256,3,0,RDP,24.6512,0.9988,0.9993,0.9991,0.9994,0.9995,131,262,359,415,16.0000,1167
256,3,1,PROPOSED,18.3458,0.9946,0.9999,0.9989,0.9964,0.9922,396,256,244,266,5.0000,1162
256,3,1,RDP,24.5595,0.9988,0.9993,0.9991,0.9994,0.9995,131,260,357,414,16.0000,1162
256,3,2,PROPOSED,18.3152,0.9946,0.9999,0.9990,0.9962,0.9922,395,258,243,266,5.0000,1162
256,3,2,RDP,24.5595,0.9988,0.9993,0.9991,0.9994,0.9995,131,260,357,414,16.0000,1162
256,3,3,PROPOSED,18.3198,0.9946,0.9999,0.9989,0.9962,0.9922,395,257,243,266,5.0000,1161
256,3,3,RDP,24.5356,0.9988,0.9993,0.9991,0.9994,0.9995,131,259,357,414,16.0000,1161
256,3,4,PROPOSED,18.2834,0.9946,0.9999,0.9989,0.9961,0.9922,397,256,241,266,5.0000,1160
256,3,4,RDP,24.4954,0.9987,0.9993,0.9991,0.9994,0.9995,130,259,357,414,16.0000,1160
256,5,0,PROPOSED,14.4802,0.9864,0.9998,0.9972,0.9894,0.9855,298,183,141,223,6.0000,845
256,5,0,RDP,17.5668,0.9941,0.9965,0.9977,0.9973,0.9968,80,175,258,332,18.0000,845
256,5,1,PROPOSED,14.3821,0.9861,0.9998,0.9972,0.9895,0.9854,297,183,139,221,6.0000,840
256,5,1,RDP,17.5107,0.9940,0.9965,0.9977,0.9972,0.9966,80,175,256,329,18.0000,840
256,5,2,PROPOSED,14.6595,0.9872,0.9998,0.9972,0.9890,0.9861,298,186,145,224,6.0000,853
256,5,2,RDP,17.7266,0.9942,0.9964,0.9977,0.9976,0.9969,81,175,263,334,18.0000,853
256,5,3,PROPOSED,14.4026,0.9861,0.9998,0.9972,0.9889,0.9855,297,183,139,222,6.0000,841
256,5,3,RDP,17.5288,0.9940,0.9965,0.9977,0.9972,0.9967,80,175,256,330,18.0000,841
256,5,4,PROPOSED,14.4016,0.9862,0.9998,0.9972,0.9895,0.9855,298,183,139,222,6.0000,842
256,5,4,RDP,17.5271,0.9940,0.9965,0.9977,0.9972,0.9967,80,175,257,330,18.0000,842
256,8,0,PROPOSED,7.9400,0.9083,0.9990,0.9909,0.9893,0.7129,225,142,132,141,19.0000,640
