signal,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving,is_stationary
stationary_transient,10,3,RDP,17.8515,0.9953,7.0000,568,1
stationary_transient,10,4,PROPOSED,14.8084,0.9918,7.0000,568,1
stationary_transient,10,4,RDP,17.8515,0.9953,7.0000,568,1
stationary_transient,15,0,PROPOSED,12.8664,0.9865,17.0000,472,1
stationary_transient,15,0,RDP,15.7159,0.9922,8.0000,472,1
stationary_transient,15,1,PROPOSED,12.5148,0.9853,18.0000,468,1
stationary_transient,15,1,RDP,15.5823,0.9921,8.0000,468,1
stationary_transient,15,2,PROPOSED,12.2288,0.9838,17.0000,464,1
stationary_transient,15,2,RDP,15.4528,0.9920,8.0000,464,1
stationary_transient,15,3,PROPOSED,12.3492,0.9858,12.0000,467,1
stationary_transient,15,3,RDP,15.5094,0.9920,8.0000,467,1
stationary_transient,15,4,PROPOSED,12.8495,0.9875,12.0000,471,1
stationary_transient,15,4,RDP,15.6407,0.9921,8.0000,471,1
piecewise_f03_f12,3,0,PROPOSED,22.8574,0.9982,9.0000,1170,0
piecewise_f03_f12,3,0,RDP,32.5750,0.9998,8.0000,1170,0
piecewise_f03_f12,3,1,PROPOSED,22.6917,0.9982,9.0000,1168,0
piecewise_f03_f12,3,1,RDP,32.4502,0.9998,8.0000,1168,0
piecewise_f03_f12,3,2,PROPOSED,22.8373,0.9982,10.0000,1169,0
piecewise_f03_f12,3,2,RDP,32.5122,0.9998,8.0000,1169,0
piecewise_f03_f12,3,3,PROPOSED,22.8142,0.9982,9.0000,1165,0
piecewise_f03_f12,3,3,RDP,32.2695,0.9998,8.0000,1165,0
piecewise_f03_f12,3,4,PROPOSED,22.7058,0.9981,11.0000,1167,0
piecewise_f03_f12,3,4,RDP,32.3891,0.9998,8.0000,1167,0
piecewise_f03_f12,5,0,PROPOSED,18.1578,0.9953,11.0000,844,0
piecewise_f03_f12,5,0,RDP,24.6287,0.9988,10.0000,844,0
piecewise_f03_f12,5,1,PROPOSED,18.1961,0.9953,11.0000,852,0
piecewise_f03_f12,5,1,RDP,24.7530,0.9989,10.0000,852,0
piecewise_f03_f12,5,2,PROPOSED,18.1774,0.9954,12.0000,844,0
piecewise_f03_f12,5,2,RDP,24.6287,0.9988,10.0000,844,0
piecewise_f03_f12,5,3,PROPOSED,18.1339,0.9953,15.0000,845,0
piecewise_f03_f12,5,3,RDP,24.6440,0.9989,10.0000,845,0
piecewise_f03_f12,5,4,PROPOSED,18.1379,0.9953,15.0000,845,0
piecewise_f03_f12,5,4,RDP,24.6440,0.9989,10.0000,845,0
piecewise_f03_f12,8,0,PROPOSED,15.0001,0.9914,17.0000,643,0
piecewise_f03_f12,8,0,RDP,18.3224,0.9954,10.0000,643,0
piecewise_f03_f12,8,1,PROPOSED,14.8561,0.9908,16.0000,640,0
piecewise_f03_f12,8,1,RDP,18.2797,0.9954,10.0000,640,0
piecewise_f03_f12,8,2,PROPOSED,14.9840,0.9908,16.0000,640,0
piecewise_f03_f12,8,2,RDP,18.2797,0.9954,10.0000,640,0
piecewise_f03_f12,8,3,PROPOSED,14.9403,0.9910,16.0000,641,0
piecewise_f03_f12,8,3,RDP,18.3021,0.9954,10.0000,641,0
piecewise_f03_f12,8,4,PROPOSED,15.0056,0.9911,17.0000,640,0
piecewise_f03_f12,8,4,RDP,18.2797,0.9954,10.0000,640,0
piecewise_f03_f12,10,0,PROPOSED,14.1000,0.9897,17.0000,569,0
piecewise_f03_f12,10,0,RDP,15.3178,0.9908,17.0000,569,0
piecewise_f03_f12,10,1,PROPOSED,14.0502,0.9897,17.0000,569,0
piecewise_f03_f12,10,1,RDP,15.3178,0.9908,17.0000,569,0
piecewise_f03_f12,10,2,PROPOSED,14.1765,0.9900,18.0000,568,0
piecewise_f03_f12,10,2,RDP,15.3095,0.9908,17.0000,568,0
piecewise_f03_f12,10,3,PROPOSED,14.1407,0.9897,17.0000,569,0
piecewise_f03_f12,10,3,RDP,15.3178,0.9908,17.0000,569,0
piecewise_f03_f12,10,4,PROPOSED,14.1408,0.9900,16.0000,569,0
piecewise_f03_f12,10,4,RDP,15.3178,0.9908,17.0000,569,0
piecewise_f03_f12,15,0,PROPOSED,12.7929,0.9874,19.0000,471,0
piecewise_f03_f12,15,0,RDP,14.2138,0.9890,17.0000,471,0
piecewise_f03_f12,15,1,PROPOSED,12.9378,0.9878,20.0000,470,0
piecewise_f03_f12,15,1,RDP,14.1958,0.9890,17.0000,470,0
piecewise_f03_f12,15,2,PROPOSED,12.7700,0.9871,19.0000,470,0
piecewise_f03_f12,15,2,RDP,14.1958,0.9890,17.0000,470,0
piecewise_f03_f12,15,3,PROPOSED,12.9668,0.9883,18.0000,470,0
piecewise_f03_f12,15,3,RDP,14.1958,0.9890,17.0000,470,0
piecewise_f03_f12,15,4,PROPOSED,13.0843,0.9882,19.0000,470,0
piecewise_f03_f12,15,4,RDP,14.1958,0.9890,17.0000,470,0
piecewise_transient,3,0,PROPOSED,24.4409,0.9988,9.0000,1171,0
piecewise_transient,3,0,RDP,33.7334,0.9999,8.0000,1171,0
piecewise_transient,3,1,PROPOSED,24.3774,0.9988,11.0000,1173,0
piecewise_transient,3,1,RDP,33.8495,0.9999,8.0000,1173,0
piecewise_transient,3,2,PROPOSED,24.3971,0.9988,11.0000,1170,0
piecewise_transient,3,2,RDP,33.6765,0.9999,8.0000,1170,0
piecewise_transient,3,3,PROPOSED,24.3606,0.9987,10.0000,1172,0
piecewise_transient,3,3,RDP,33.7911,0.9999,8.0000,1172,0
piecewise_transient,3,4,PROPOSED,24.5553,0.9988,9.0000,1173,0
piecewise_transient,3,4,RDP,33.8495,0.9999,8.0000,1173,0
piecewise_transient,5,0,PROPOSED,19.6114,0.9964,13.0000,847,0
piecewise_transient,5,0,RDP,26.1723,0.9992,10.0000,847,0
piecewise_transient,5,1,PROPOSED,19.6034,0.9964,15.0000,848,0
piecewise_transient,5,1,RDP,26.1875,0.9992,10.0000,848,0
piecewise_transient,5,2,PROPOSED,19.8600,0.9967,13.0000,852,0
piecewise_transient,5,2,RDP,26.2487,0.9992,10.0000,852,0
piecewise_transient,5,3,PROPOSED,19.5238,0.9964,14.0000,845,0
piecewise_transient,5,3,RDP,26.1421,0.9992,10.0000,845,0
piecewise_transient,5,4,PROPOSED,19.6569,0.9965,14.0000,844,0
piecewise_transient,5,4,RDP,26.1271,0.9992,10.0000,844,0
piecewise_transient,8,0,PROPOSED,16.4817,0.9930,17.0000,644,0
piecewise_transient,8,0,RDP,19.8453,0.9966,12.0000,644,0
