buf_size,overload,trial,method,snr_db,spec_corr_global,sc_seg1,sc_seg2,sc_seg3,sc_seg4,n_seg1,n_seg2,n_seg3,n_seg4,max_gap,n_surviving
512,8,0,RDP,27.6149,0.9994,0.9993,0.9992,0.9995,1.0000,61,201,383,251,16.0000,896
512,8,1,PROPOSED,21.3989,0.9977,0.9999,0.9975,0.9937,1.0000,249,165,232,251,8.0000,897
512,8,1,RDP,27.6122,0.9994,0.9993,0.9992,0.9995,1.0000,61,201,384,251,16.0000,897
512,8,2,PROPOSED,21.4325,0.9977,0.9999,0.9975,0.9939,1.0000,249,165,233,251,8.0000,898
512,8,2,RDP,27.6372,0.9994,0.9993,0.9992,0.9995,1.0000,61,201,385,251,16.0000,898
512,8,3,PROPOSED,21.3989,0.9977,0.9999,0.9975,0.9937,1.0000,249,165,232,251,8.0000,897
512,8,3,RDP,27.6122,0.9994,0.9993,0.9992,0.9995,1.0000,61,201,384,251,16.0000,897
512,8,4,PROPOSED,21.3629,0.9977,0.9999,0.9975,0.9936,1.0000,249,164,231,251,8.0000,895
512,8,4,RDP,27.5901,0.9994,0.9993,0.9992,0.9995,1.0000,61,201,382,251,16.0000,895
512,10,0,PROPOSED,19.9796,0.9968,0.9999,0.9955,0.9923,1.0000,219,136,220,251,8.0000,826
512,10,0,RDP,25.9340,0.9992,0.9993,0.9992,0.9983,1.0000,61,193,321,251,16.0000,826
512,10,1,PROPOSED,19.9796,0.9968,0.9999,0.9955,0.9923,1.0000,219,136,220,251,8.0000,826
512,10,1,RDP,25.9340,0.9992,0.9993,0.9992,0.9983,1.0000,61,193,321,251,16.0000,826
512,10,2,PROPOSED,19.9555,0.9968,0.9999,0.9955,0.9925,1.0000,219,136,219,251,8.0000,825
512,10,2,RDP,25.8842,0.9992,0.9993,0.9992,0.9983,1.0000,61,192,321,251,16.0000,825
512,10,3,PROPOSED,19.9555,0.9968,0.9999,0.9955,0.9925,1.0000,219,136,219,251,8.0000,825
512,10,3,RDP,25.8842,0.9992,0.9993,0.9992,0.9983,1.0000,61,192,321,251,16.0000,825
512,10,4,PROPOSED,19.9316,0.9967,0.9999,0.9955,0.9924,1.0000,218,136,218,251,8.0000,823
512,10,4,RDP,25.7863,0.9992,0.9993,0.9992,0.9983,1.0000,61,190,321,251,16.0000,823
512,15,0,PROPOSED,18.5435,0.9953,0.9996,0.9938,0.9902,1.0000,164,108,202,251,16.0000,725
512,15,0,RDP,20.6855,0.9975,0.9985,0.9972,0.9957,1.0000,41,159,275,250,16.0000,725
512,15,1,PROPOSED,18.4850,0.9952,0.9995,0.9936,0.9902,1.0000,161,107,202,251,16.0000,721
512,15,1,RDP,20.6161,0.9975,0.9985,0.9972,0.9956,1.0000,41,159,271,250,16.0000,721
512,15,2,PROPOSED,18.5437,0.9953,0.9996,0.9938,0.9902,1.0000,165,108,202,251,16.0000,726
512,15,2,RDP,20.7246,0.9976,0.9985,0.9972,0.9957,1.0000,41,159,276,250,16.0000,726
512,15,3,PROPOSED,18.5541,0.9952,0.9996,0.9937,0.9902,1.0000,164,108,202,251,16.0000,725
512,15,3,RDP,20.6855,0.9975,0.9985,0.9972,0.9957,1.0000,41,159,275,250,16.0000,725
512,15,4,PROPOSED,18.5394,0.9953,0.9995,0.9939,0.9902,1.0000,164,108,202,251,16.0000,725
512,15,4,RDP,20.6855,0.9975,0.9985,0.9972,0.9957,1.0000,41,159,275,250,16.0000,725
