spike_amp,overload,trial,method,snr_db,spec_corr_global,spec_corr_seg1,spec_corr_seg2,n_seg1,n_seg2,frac_seg1,max_gap,n_surviving
5.0000,15,4,RDP,15.7421,0.9921,0.9944,0.9902,101,368,0.2154,17.0000,469
10.0000,5,0,PROPOSED,22.4607,0.9979,0.9997,0.9964,428,415,0.5077,12.0000,843
10.0000,5,0,RDP,28.8308,0.9995,0.9996,0.9995,191,652,0.2266,10.0000,843
10.0000,5,1,PROPOSED,22.3550,0.9979,0.9997,0.9964,427,416,0.5065,14.0000,843
10.0000,5,1,RDP,28.8308,0.9995,0.9996,0.9995,191,652,0.2266,10.0000,843
10.0000,5,2,PROPOSED,22.4910,0.9980,0.9998,0.9965,431,417,0.5083,10.0000,848
10.0000,5,2,RDP,28.9041,0.9995,0.9996,0.9996,191,657,0.2252,10.0000,848
10.0000,5,3,PROPOSED,22.3417,0.9979,0.9997,0.9964,433,416,0.5100,12.0000,849
10.0000,5,3,RDP,28.9189,0.9995,0.9996,0.9996,191,658,0.2250,10.0000,849
10.0000,5,4,PROPOSED,22.3865,0.9979,0.9997,0.9965,432,415,0.5100,11.0000,847
10.0000,5,4,RDP,28.8893,0.9995,0.9996,0.9996,191,656,0.2255,10.0000,847
10.0000,8,0,PROPOSED,19.3752,0.9959,0.9988,0.9934,308,333,0.4805,16.0000,641
10.0000,8,0,RDP,22.5726,0.9980,0.9983,0.9978,146,495,0.2278,11.0000,641
10.0000,8,1,PROPOSED,19.3513,0.9958,0.9988,0.9934,312,331,0.4852,17.0000,643
10.0000,8,1,RDP,22.5921,0.9980,0.9983,0.9978,146,497,0.2271,11.0000,643
10.0000,8,2,PROPOSED,19.4273,0.9959,0.9990,0.9933,314,328,0.4891,15.0000,642
10.0000,8,2,RDP,22.5943,0.9980,0.9983,0.9978,146,496,0.2274,11.0000,642
10.0000,8,3,PROPOSED,19.3757,0.9959,0.9990,0.9933,313,331,0.4860,16.0000,644
10.0000,8,3,RDP,22.6139,0.9980,0.9983,0.9979,146,498,0.2267,11.0000,644
10.0000,8,4,PROPOSED,19.3608,0.9959,0.9989,0.9934,313,332,0.4853,16.0000,645
10.0000,8,4,RDP,22.6117,0.9980,0.9983,0.9979,146,499,0.2264,11.0000,645
10.0000,10,0,PROPOSED,18.4771,0.9952,0.9982,0.9924,267,301,0.4701,17.0000,568
10.0000,10,0,RDP,19.7152,0.9962,0.9957,0.9973,105,463,0.1849,17.0000,568
10.0000,10,1,PROPOSED,18.4517,0.9950,0.9983,0.9922,266,303,0.4675,17.0000,569
10.0000,10,1,RDP,19.7234,0.9962,0.9957,0.9973,105,464,0.1845,17.0000,569
10.0000,10,2,PROPOSED,18.4410,0.9950,0.9981,0.9922,267,302,0.4692,17.0000,569
10.0000,10,2,RDP,19.7234,0.9962,0.9957,0.9973,105,464,0.1845,17.0000,569
10.0000,10,3,PROPOSED,18.5203,0.9952,0.9984,0.9924,270,299,0.4745,17.0000,569
10.0000,10,3,RDP,19.7234,0.9962,0.9957,0.9973,105,464,0.1845,17.0000,569
10.0000,10,4,PROPOSED,18.5005,0.9951,0.9982,0.9924,267,302,0.4692,17.0000,569
10.0000,10,4,RDP,19.7234,0.9962,0.9957,0.9973,105,464,0.1845,17.0000,569
10.0000,15,0,PROPOSED,17.4106,0.9936,0.9973,0.9901,209,259,0.4466,18.0000,468
10.0000,15,0,RDP,18.5229,0.9949,0.9957,0.9941,105,363,0.2244,17.0000,468
10.0000,15,1,PROPOSED,17.2376,0.9934,0.9961,0.9905,206,263,0.4392,19.0000,469
10.0000,15,1,RDP,18.5405,0.9950,0.9957,0.9942,105,364,0.2239,17.0000,469
10.0000,15,2,PROPOSED,17.2374,0.9934,0.9963,0.9905,205,266,0.4352,19.0000,471
10.0000,15,2,RDP,18.5758,0.9951,0.9957,0.9944,105,366,0.2229,17.0000,471
10.0000,15,3,PROPOSED,17.2325,0.9935,0.9962,0.9909,201,263,0.4332,19.0000,464
10.0000,15,3,RDP,18.4534,0.9949,0.9957,0.9939,105,359,0.2263,17.0000,464
10.0000,15,4,PROPOSED,17.1832,0.9935,0.9965,0.9905,206,264,0.4383,19.0000,470
10.0000,15,4,RDP,18.5581,0.9950,0.9957,0.9943,105,365,0.2234,17.0000,470
