alpha,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving
0.4000,15,2,PROPOSED,16.1806,0.9956,15.0000,470
0.4000,15,2,RDP,18.7813,0.9973,10.0000,470
0.4000,15,3,PROPOSED,16.1632,0.9954,16.0000,469
0.4000,15,3,RDP,18.7496,0.9973,10.0000,469
0.4000,15,4,PROPOSED,15.8433,0.9950,14.0000,467
0.4000,15,4,RDP,18.7193,0.9973,10.0000,467
0.5000,5,0,PROPOSED,23.8070,0.9991,11.0000,844
0.5000,5,0,RDP,26.9109,0.9994,10.0000,844
0.5000,5,1,PROPOSED,23.5811,0.9991,10.0000,843
0.5000,5,1,RDP,26.8630,0.9994,10.0000,843
0.5000,5,2,PROPOSED,23.5089,0.9991,11.0000,841
0.5000,5,2,RDP,26.7687,0.9993,10.0000,841
0.5000,5,3,PROPOSED,23.6480,0.9990,11.0000,847
0.5000,5,3,RDP,27.0580,0.9994,10.0000,847
0.5000,5,4,PROPOSED,23.3859,0.9991,11.0000,842
0.5000,5,4,RDP,26.8156,0.9993,10.0000,842
0.5000,10,0,PROPOSED,17.3565,0.9961,15.0000,569
0.5000,10,0,RDP,22.4736,0.9985,10.0000,569
0.5000,10,1,PROPOSED,18.1945,0.9971,14.0000,570
0.5000,10,1,RDP,22.4747,0.9985,10.0000,570
0.5000,10,2,PROPOSED,18.0464,0.9970,14.0000,570
0.5000,10,2,RDP,22.4747,0.9985,10.0000,570
0.5000,10,3,PROPOSED,17.8837,0.9967,13.0000,569
0.5000,10,3,RDP,22.4736,0.9985,10.0000,569
0.5000,10,4,PROPOSED,17.6808,0.9967,14.0000,569
0.5000,10,4,RDP,22.4736,0.9985,10.0000,569
0.5000,15,0,PROPOSED,15.4143,0.9948,17.0000,468
0.5000,15,0,RDP,19.6144,0.9974,10.0000,468
0.5000,15,1,PROPOSED,15.2404,0.9948,18.0000,468
0.5000,15,1,RDP,19.6144,0.9974,10.0000,468
0.5000,15,2,PROPOSED,15.1882,0.9948,17.0000,469
0.5000,15,2,RDP,19.6735,0.9974,10.0000,469
0.5000,15,3,PROPOSED,15.3817,0.9950,17.0000,468
0.5000,15,3,RDP,19.6144,0.9974,10.0000,468
