sample,original,proposed_recon,rdp_recon
230,0.587785,0.485992,0.485992
231,0.125333,0.0671569,0.0671569
232,-0.368125,-0.351678,-0.351678
233,-0.770513,-0.770513,-0.770513
234,-0.982287,-0.982287,-0.982287
235,-0.951057,-0.951057,-0.833417
236,-0.684547,-0.684547,-0.684547
237,-0.24869,-0.228182,-0.228182
238,0.24869,0.228182,0.228182
239,0.684547,0.684547,0.684547
240,0.951057,0.951057,0.833417
241,0.982287,0.982287,0.982287
242,0.770513,0.770513,0.770513
243,0.368125,0.351678,0.351678
244,-0.125333,-0.0671569,-0.0671569
245,-0.587785,-0.485992,-0.485992
246,-0.904827,-0.904827,-0.904827
247,-0.998027,-0.998027,-0.874577
248,-0.844328,-0.844328,-0.844328
249,-0.481754,-0.422164,-0.422164
250,9.31227e-15,1.11022e-15,1.11022e-15
251,0.481754,0.422164,0.422164
252,0.844328,0.844328,0.844328
253,0.998027,0.998027,0.874577
254,0.904827,0.904827,0.904827
255,0.587785,0.485992,0.485992
256,0.125333,0.0671569,0.0671569
257,-0.368125,-0.351678,-0.351678
258,-0.770513,-0.770513,-0.770513
259,-0.982287,-0.982287,-0.982287
260,-0.951057,-0.951057,-0.833417
261,-0.684547,-0.684547,-0.684547
262,-0.24869,-0.228182,-0.228182
263,0.24869,0.228182,0.228182
264,0.684547,0.684547,0.684547
265,0.951057,0.951057,0.833417
266,0.982287,0.982287,0.982287
267,0.770513,0.770513,0.770513
268,0.368125,0.351678,0.351678
269,-0.125333,-0.0671569,-0.0671569
270,-0.587785,-0.485992,-0.485992
271,-0.904827,-0.904827,-0.904827
272,-0.998027,-0.998027,-0.874577
273,-0.844328,-0.844328,-0.844328
274,-0.481754,-0.422164,-0.422164
275,8.82241e-15,4.66294e-15,4.66294e-15
276,0.481754,0.422164,0.422164
277,0.844328,0.844328,0.844328
278,0.998027,0.998027,0.874577
279,0.904827,0.904827,0.904827
280,0.587785,0.485992,0.485992
281,0.125333,0.0671569,0.0671569
282,-0.368125,-0.351678,-0.351678
283,-0.770513,-0.770513,-0.770513
284,-0.982287,-0.982287,-0.982287
285,-0.951057,-0.951057,-0.833417
286,-0.684547,-0.684547,-0.684547
287,-0.24869,-0.228182,-0.228182
288,0.24869,0.228182,0.228182
289,0.684547,0.684547,0.684547
290,0.951057,0.951057,0.833417
291,0.982287,0.982287,0.982287
292,0.770513,0.770513,0.770513
293,0.368125,0.351678,0.351678
294,-0.125333,-0.0671569,-0.0671569
295,-0.587785,-0.485992,-0.485992
296,-0.904827,-0.904827,-0.904827
297,-0.998027,-0.998027,-0.874577
298,-0.844328,-0.844328,-0.844328
299,-0.481754,-0.422164,-0.422164
300,-5.8783e-15,4.44089e-15,4.44089e-15
301,0.481754,0.422164,0.422164
302,0.844328,0.844328,0.844328
303,0.998027,0.998027,0.874577
304,0.904827,0.904827,0.904827
305,0.587785,0.485992,0.485992
306,0.125333,0.0671569,0.0671569
307,-0.368125,-0.351678,-0.351678
308,-0.770513,-0.770513,-0.770513
309,-0.982287,-0.982287,-0.982287
310,-0.951057,-0.951057,-0.833417
311,-0.684547,-0.684547,-0.684547
312,-0.24869,-0.228182,-0.228182
313,0.24869,0.228182,0.228182
314,0.684547,0.684547,0.684547
315,0.951057,0.833417,0.833417
316,0.982287,0.982287,0.982287
317,0.770513,0.770513,0.770513
318,0.368125,0.351678,0.351678
319,-0.125333,-0.0671569,-0.0671569
320,-0.587785,-0.485992,-0.485992
321,-0.904827,-0.904827,-0.904827
