buf_size,overload,trial,method,snr_db,spec_corr,err_tone_rel,max_gap,cv_gap,n_samples_near_spike,n_samples_total
512,10,0,RDP,22.3247,0.9982,0.0517,4.0000,0.4757,19,825
512,10,1,PROPOSED,20.9508,0.9984,0.0594,6.0000,0.5646,13,824
512,10,1,RDP,22.3155,0.9982,0.0519,4.0000,0.4746,19,824
512,10,2,PROPOSED,21.0946,0.9983,0.0587,5.0000,0.5572,16,825
512,10,2,RDP,22.3247,0.9982,0.0517,4.0000,0.4757,19,825
512,10,3,PROPOSED,20.8031,0.9982,0.0602,6.0000,0.5698,15,829
512,10,3,RDP,22.3619,0.9983,0.0513,4.0000,0.4802,19,829
512,10,4,PROPOSED,20.8984,0.9983,0.0594,6.0000,0.5663,14,825
512,10,4,RDP,22.3247,0.9982,0.0517,4.0000,0.4757,19,825
512,15,0,PROPOSED,19.4685,0.9978,0.0721,6.0000,0.5342,13,727
512,15,0,RDP,20.7275,0.9977,0.0648,5.0000,0.4448,16,727
512,15,1,PROPOSED,19.2615,0.9977,0.0745,6.0000,0.5366,13,726
512,15,1,RDP,20.7118,0.9976,0.0650,5.0000,0.4446,16,726
512,15,2,PROPOSED,19.4414,0.9977,0.0731,6.0000,0.5178,13,724
512,15,2,RDP,20.6805,0.9976,0.0653,5.0000,0.4441,16,724
512,15,3,PROPOSED,19.4084,0.9978,0.0734,7.0000,0.5248,13,724
512,15,3,RDP,20.6805,0.9976,0.0653,5.0000,0.4441,16,724
512,15,4,PROPOSED,19.4160,0.9977,0.0729,6.0000,0.5268,13,725
512,15,4,RDP,20.6961,0.9976,0.0651,5.0000,0.4443,16,725
