buf_size,overload,trial,method,snr_db,spec_corr,err_f1_rel,err_f2_rel,err_ratio_f2_f1,mean_gap,max_gap,cv_gap,n_surviving
64,10,0,PROPOSED,11.4261,0.9713,0.0356,0.6197,17.4286,5.2744,17.0000,0.7627,380
64,10,0,RDP,12.7864,0.9771,0.0645,0.5241,8.1276,5.2744,15.0000,0.7573,380
64,10,1,PROPOSED,11.3181,0.9704,0.0334,0.6256,18.7283,5.2884,18.0000,0.7555,379
64,10,1,RDP,12.8273,0.9771,0.0626,0.5241,8.3698,5.2884,15.0000,0.7598,379
64,10,2,PROPOSED,11.3631,0.9706,0.0356,0.6274,17.6266,5.3307,18.0000,0.7552,376
64,10,2,RDP,12.7719,0.9769,0.0637,0.5296,8.3160,5.3307,15.0000,0.7590,376
64,10,3,PROPOSED,11.2196,0.9693,0.0294,0.6255,21.3049,5.3307,17.0000,0.7707,376
64,10,3,RDP,12.7719,0.9769,0.0637,0.5296,8.3160,5.3307,15.0000,0.7590,376
64,10,4,PROPOSED,11.3816,0.9704,0.0270,0.6314,23.4104,5.3165,18.0000,0.7752,377
64,10,4,RDP,12.8200,0.9770,0.0622,0.5268,8.4679,5.3165,15.0000,0.7607,377
128,3,0,PROPOSED,25.0809,0.9990,0.0062,0.0768,12.3380,1.9408,4.0000,0.4942,1031
128,3,0,RDP,27.4858,0.9992,0.0032,0.0532,16.5703,1.9408,3.0000,0.4534,1031
128,3,1,PROPOSED,25.1904,0.9990,0.0068,0.0754,11.0592,1.9351,4.0000,0.4915,1034
128,3,1,RDP,27.5318,0.9992,0.0028,0.0529,18.7036,1.9351,3.0000,0.4538,1034
128,3,2,PROPOSED,25.2229,0.9990,0.0071,0.0754,10.6654,1.9408,4.0000,0.4900,1031
128,3,2,RDP,27.4858,0.9992,0.0032,0.0532,16.5703,1.9408,3.0000,0.4534,1031
128,3,3,PROPOSED,25.3258,0.9990,0.0059,0.0741,12.4585,1.9295,4.0000,0.4936,1037
128,3,3,RDP,27.5783,0.9992,0.0024,0.0525,21.5135,1.9295,3.0000,0.4542,1037
128,3,4,PROPOSED,25.1716,0.9990,0.0069,0.0762,11.0979,1.9408,4.0000,0.4910,1031
128,3,4,RDP,27.4858,0.9992,0.0032,0.0532,16.5703,1.9408,3.0000,0.4534,1031
128,5,0,PROPOSED,21.4001,0.9973,0.0084,0.1620,19.1772,2.7958,7.0000,0.3654,716
128,5,0,RDP,23.2250,0.9979,0.0133,0.1338,10.0437,2.7958,4.0000,0.3358,716
128,5,1,PROPOSED,20.6984,0.9970,0.0082,0.1711,20.8898,2.7958,7.0000,0.3746,716
128,5,1,RDP,23.2250,0.9979,0.0133,0.1338,10.0437,2.7958,4.0000,0.3358,716
128,5,2,PROPOSED,20.9214,0.9971,0.0088,0.1683,19.2100,2.7649,7.0000,0.3728,724
128,5,2,RDP,23.2960,0.9980,0.0131,0.1317,10.0148,2.7649,4.0000,0.3435,724
