bin,norm_freq,orig_mag,proposed_mag,rdp_mag,proposed_err,rdp_err,proposed_rel_err,rdp_rel_err
120,0.06,10.6046,7.47988,10.5157,3.1247,0.0888774,0.294656,0.00838104
121,0.0605,10.2939,12.5872,10.0736,2.29326,0.220277,0.222778,0.0213988
122,0.061,9.9899,9.67815,9.78821,0.311748,0.201693,0.0312064,0.0201896
123,0.0615,9.69247,15.5049,9.85947,5.81248,0.167002,0.599691,0.0172301
124,0.062,9.40157,13.5322,9.48841,4.13062,0.086847,0.439354,0.0092375
125,0.0625,9.11715,10.6014,9.3001,1.48426,0.182952,0.162799,0.0200668
126,0.063,8.83916,9.11735,8.68278,0.278197,0.156376,0.0314732,0.0176913
127,0.0635,8.56752,5.11069,8.49703,3.45683,0.0704934,0.403481,0.00822798
128,0.064,8.30219,8.13157,8.12467,0.170621,0.177516,0.0205513,0.0213818
129,0.0645,8.04309,9.56539,8.00255,1.5223,0.0405394,0.189268,0.00504028
130,0.065,7.79015,11.6681,7.47731,3.87793,0.312842,0.497798,0.0401586
131,0.0655,7.54331,2.84336,7.43194,4.69995,0.111365,0.623062,0.0147635
132,0.066,7.30248,6.95978,7.20785,0.342708,0.0946298,0.0469303,0.0129586
133,0.0665,7.0676,5.08526,7.20992,1.98234,0.142321,0.280483,0.0201371
134,0.067,6.83859,8.08168,6.59668,1.24309,0.241909,0.181775,0.0353741
135,0.0675,6.61537,8.14841,6.37999,1.53304,0.23538,0.23174,0.0355807
136,0.068,6.39785,4.45334,5.86066,1.94451,0.537186,0.303931,0.0839635
137,0.0685,6.18596,5.47964,5.92071,0.706318,0.265243,0.114181,0.0428783
138,0.069,5.97961,5.67253,5.80595,0.30708,0.173662,0.0513546,0.0290423
139,0.0695,5.77872,6.63036,5.73021,0.851644,0.048508,0.147376,0.00839426
140,0.07,5.5832,8.07001,5.39232,2.48682,0.190874,0.445411,0.0341872
141,0.0705,5.39296,2.51333,5.27616,2.87963,0.116801,0.533961,0.0216581
142,0.071,5.20792,10.1236,4.84743,4.91563,0.360488,0.943877,0.0692191
143,0.0715,5.02799,6.31236,4.97248,1.28437,0.0555126,0.255444,0.0110407
144,0.072,4.85308,6.68612,4.2641,1.83304,0.588972,0.377707,0.121361
145,0.0725,4.68309,2.07437,4.31797,2.60872,0.365128,0.557051,0.0779672
146,0.073,4.51795,5.45931,3.9805,0.941362,0.537445,0.208361,0.118958
147,0.0735,4.35755,5.25319,4.24133,0.895633,0.116227,0.205536,0.0266724
148,0.074,4.20182,4.01133,4.683,0.190483,0.481183,0.0453336,0.114518
149,0.0745,4.05064,2.6185,3.99555,1.43215,0.0550975,0.35356,0.0136022
150,0.075,3.90395,6.83804,3.63945,2.9341,0.264501,0.751572,0.0677522
151,0.0755,3.76164,2.30069,3.97867,1.46095,0.217039,0.388381,0.0576982
152,0.076,3.62362,2.60747,3.70333,1.01615,0.0797163,0.280424,0.0219991
153,0.0765,3.4898,2.96419,3.62641,0.525611,0.136611,0.150613,0.0391459
