method,sample_idx,value
PROPOSED,483,-0.770513
PROPOSED,484,-0.982287
PROPOSED,486,-0.684547
PROPOSED,489,0.684547
PROPOSED,491,0.982287
PROPOSED,492,0.770513
PROPOSED,496,-0.904827
PROPOSED,498,-0.844328
PROPOSED,502,0.844328
PROPOSED,504,0.904827
PROPOSED,508,-0.770513
PROPOSED,509,-0.982287
PROPOSED,511,-0.684547
PROPOSED,514,0.684547
PROPOSED,516,0.982287
PROPOSED,517,0.770513
PROPOSED,521,-0.904827
PROPOSED,523,-0.844328
PROPOSED,527,0.844328
PROPOSED,529,0.904827
PROPOSED,533,-0.770513
PROPOSED,534,-0.982287
PROPOSED,536,-0.684547
PROPOSED,539,0.684547
PROPOSED,541,0.982287
PROPOSED,542,0.770513
PROPOSED,546,-0.904827
PROPOSED,548,-0.844328
PROPOSED,552,0.844328
PROPOSED,554,0.904827
PROPOSED,558,-0.770513
PROPOSED,559,-0.982287
PROPOSED,561,-0.684547
PROPOSED,564,0.684547
PROPOSED,566,0.982287
PROPOSED,567,0.770513
PROPOSED,571,-0.904827
PROPOSED,573,-0.844328
PROPOSED,577,0.844328
PROPOSED,579,0.904827
PROPOSED,583,-0.770513
PROPOSED,584,-0.982287
PROPOSED,586,-0.684547
PROPOSED,589,0.684547
PROPOSED,591,0.982287
PROPOSED,592,0.770513
PROPOSED,596,-0.904827
PROPOSED,598,-0.844328
PROPOSED,602,0.844328
PROPOSED,604,0.904827
PROPOSED,608,-0.770513
PROPOSED,610,-0.951057
PROPOSED,615,0.951057
PROPOSED,616,0.982287
PROPOSED,621,-0.904827
PROPOSED,623,-0.844328
PROPOSED,627,0.844328
PROPOSED,629,0.904827
PROPOSED,633,-0.770513
PROPOSED,634,-0.982287
PROPOSED,636,-0.684547
PROPOSED,639,0.684547
PROPOSED,641,0.982287
PROPOSED,642,0.770513
PROPOSED,646,-0.904827
PROPOSED,648,-0.844328
PROPOSED,652,0.844328
PROPOSED,654,0.904827
PROPOSED,658,-0.770513
PROPOSED,660,-0.951057
PROPOSED,665,0.951057
PROPOSED,666,0.982287
PROPOSED,671,-0.904827
PROPOSED,673,-0.844328
PROPOSED,677,0.844328
PROPOSED,679,0.904827
PROPOSED,683,-0.770513
PROPOSED,684,-0.982287
PROPOSED,686,-0.684547
PROPOSED,689,0.684547
PROPOSED,691,0.982287
PROPOSED,696,-0.904827
PROPOSED,697,-0.998027
PROPOSED,699,-0.481754
PROPOSED,702,0.844328
PROPOSED,703,0.998027
PROPOSED,705,0.587785
PROPOSED,708,-0.770513
PROPOSED,710,-0.951057
PROPOSED,715,0.951057
PROPOSED,716,0.982287
PROPOSED,721,-0.904827
PROPOSED,723,-0.844328
PROPOSED,727,0.844328
PROPOSED,728,0.998027
PROPOSED,730,0.587785
PROPOSED,733,-0.770513
PROPOSED,735,-0.951057
PROPOSED,740,0.951057
PROPOSED,741,0.982287
PROPOSED,746,-0.904827
PROPOSED,747,-0.998027
PROPOSED,749,-0.481754
PROPOSED,752,0.844328
PROPOSED,754,0.904827
PROPOSED,759,-0.982287
PROPOSED,761,-0.684547
PROPOSED,764,0.684547
PROPOSED,766,0.982287
PROPOSED,771,-0.904827
PROPOSED,772,-0.998027
PROPOSED,774,-0.481754
PROPOSED,777,0.844328
PROPOSED,778,0.998027
PROPOSED,780,0.587785
PROPOSED,783,-0.770513
PROPOSED,785,-0.951057
PROPOSED,790,0.951057
PROPOSED,791,0.982287
PROPOSED,796,-0.904827
PROPOSED,797,-0.998027
PROPOSED,799,-0.481754
PROPOSED,802,0.844328
PROPOSED,803,0.998027
PROPOSED,805,0.587785
PROPOSED,808,-0.770513
PROPOSED,810,-0.951057
PROPOSED,815,0.951057
PROPOSED,817,0.770513
PROPOSED,821,-0.904827
PROPOSED,822,-0.998027
PROPOSED,824,-0.481754
PROPOSED,827,0.844328
PROPOSED,828,0.998027
PROPOSED,830,0.587785
PROPOSED,833,-0.770513
PROPOSED,834,-0.982287
PROPOSED,836,-0.684547
PROPOSED,839,0.684547
PROPOSED,841,0.982287
PROPOSED,846,-0.904827
PROPOSED,848,-0.844328
PROPOSED,852,0.844328
PROPOSED,853,0.998027
PROPOSED,855,0.587785
PROPOSED,858,-0.770513
PROPOSED,859,-0.982287
PROPOSED,861,-0.684547
PROPOSED,864,0.684547
PROPOSED,866,0.982287
PROPOSED,871,-0.904827
PROPOSED,872,-0.998027
PROPOSED,874,-0.481754
PROPOSED,877,0.844328
PROPOSED,878,0.998027
PROPOSED,880,0.587785
PROPOSED,884,-0.982287
PROPOSED,886,-0.684547
PROPOSED,889,0.684547
PROPOSED,891,0.982287
PROPOSED,896,-0.904827
PROPOSED,897,-0.998027
PROPOSED,899,-0.481754
PROPOSED,902,0.844328
PROPOSED,904,0.904827
PROPOSED,908,-0.770513
PROPOSED,910,-0.951057
PROPOSED,915,0.951057
PROPOSED,917,0.770513
PROPOSED,921,-0.904827
PROPOSED,922,-0.998027
PROPOSED,924,-0.481754
PROPOSED,927,0.844328
PROPOSED,928,0.998027
PROPOSED,930,0.587785
PROPOSED,934,-0.982287
PROPOSED,936,-0.684547
PROPOSED,939,0.684547
PROPOSED,941,0.982287
PROPOSED,946,-0.904827
PROPOSED,948,-0.844328
PROPOSED,952,0.844328
PROPOSED,953,0.998027
PROPOSED,955,0.587785
PROPOSED,958,-0.770513
PROPOSED,960,-0.951057
PROPOSED,965,0.951057
PROPOSED,966,0.982287
PROPOSED,971,-0.904827
PROPOSED,972,-0.998026
PROPOSED,974,-0.481747
PROPOSED,977,0.844455
PROPOSED,978,0.998339
PROPOSED,980,0.589463
PROPOSED,983,-0.75507
PROPOSED,985,-0.895512
PROPOSED,991,1.97178
PROPOSED,995,2.44487
PROPOSED,997,3.17832
PROPOSED,1000,5
PROPOSED,1002,5.45991
PROPOSED,1004,4.53557
PROPOSED,1008,0.619673
PROPOSED,1009,0.00720624
PROPOSED,1011,-0.239939
PROPOSED,1015,1.0066
PROPOSED,1017,0.785957
PROPOSED,1021,-0.904088
PROPOSED,1022,-0.997714
PROPOSED,1024,-0.481704
PROPOSED,1027,0.84433
PROPOSED,1028,0.998028
PROPOSED,1030,0.587785
PROPOSED,1034,-0.982287
PROPOSED,1036,-0.684547
PROPOSED,1039,0.684547
PROPOSED,1041,0.982287
PROPOSED,1046,-0.904827
PROPOSED,1048,-0.844328
PROPOSED,1052,0.844328
PROPOSED,1054,0.904827
PROPOSED,1059,-0.982287
PROPOSED,1061,-0.684547
PROPOSED,1064,0.684547
PROPOSED,1066,0.982287
PROPOSED,1071,-0.904827
PROPOSED,1072,-0.998027
PROPOSED,1074,-0.481754
PROPOSED,1077,0.844328
PROPOSED,1078,0.998027
PROPOSED,1080,0.587785
PROPOSED,1084,-0.982287
PROPOSED,1086,-0.684547
PROPOSED,1089,0.684547
PROPOSED,1091,0.982287
PROPOSED,1096,-0.904827
PROPOSED,1098,-0.844328
PROPOSED,1102,0.844328
PROPOSED,1104,0.904827
PROPOSED,1108,-0.770513
PROPOSED,1110,-0.951057
PROPOSED,1114,0.684547
PROPOSED,1116,0.982287
PROPOSED,1121,-0.904827
PROPOSED,1122,-0.998027
PROPOSED,1124,-0.481754
PROPOSED,1127,0.844328
PROPOSED,1128,0.998027
PROPOSED,1130,0.587785
PROPOSED,1133,-0.770513
PROPOSED,1135,-0.951057
PROPOSED,1140,0.951057
PROPOSED,1142,0.770513
PROPOSED,1146,-0.904827
PROPOSED,1148,-0.844328
